platform,title_message_lemmatized
android,многий работать
android,обновление корректно отражаться раздел
android,запускаться 10 android обновление
android,максимальный количество скрытый вакансия 2000 поэтому скрывать вакансия сверх цифра самый один скрытый вакансия удаляться список вновь показываться поиск ответить оператор признать ответ получить очень быстро мой мнение такой ограничение должный ранее считать hh такой костыль
android,еле труд заполнить еле понимать писать один пользоваться взять заблокировать мой резюме серьёзно обидный удалить спасибо найти сайт
android,сливать ваш дать интернет сразу указать мой резюме мочь видеть провернный работодатель итог первое день телефон стать обрывать мошенник люба масть реклама звонить москва звать открытие салон хабаровск
android,постоянно слетать резюме приходиться вводить заново
android,последний обновление послеталый учётный запись зайти мочь
android,сидеть год один нормальный отклик
android,половина час писать резюме случайно дёрнуться палец нажать назад сразу вылететь сохраниться
android,понравиться скачать внести дать потратить достаточно количество время заблокировать пара часы неизвестно почему модератор хватить мой достоверный информация место мой работа думать такой место существовать мыть город взять балда
android,полезный
android,возможно найти работа ряд дом
android,сайт убогий
ios,добрый день добавить возможность блокировка объявление интересовать компания
android,заходить телефон логин пароль вводить реагировать хотеть написать обратный связь реагирута
android,очень раздражать процесс просмотр список вакансия постоянно пополняться новый вакансия приходиться несколько пролистывать один тот особенно напрягать происходить середина день время вакансия добавлять наиболее активно возможность исключить добавление новый вакансия вверху список пока юзер вручную обновить список мочь добавить такой возможность звезда
android,мало нормальный вакансия писать подработка 90 работа друг город нормальный митнуться выходной город километр 500 порабоиал несколько часы домой класс
android,работать слово постоянно виснуть мало давать обновить резюме ссылаться ошибка какой итог перестать выводить список вакансия экран удалять ибо толк
android,обновление перестать работать заходить приложенить выбрасывать
android,предидти комент заблочили который говорить слив личный инофрмация тонна спам ящик заблокировать сделать скриншот суд потомучто чёрный
android,отыграюсьставить бал ваш плохой куратор женский полый писать замечание одобривать мой резюме постоянно находить немой недочёт удалиться сайт сидеть комп человек качать искать работа модератор тупой писать повод резюмеонить начинать специально одабривать находить тип ошибкивсем добраработать такой место общественность человек должный терпеть критика свой адресвсем добро
android,параша полный лохушко ностаить дорогой брат сестра мусульманить качать кафирский русский работа брать воощ 99 вакансия фейковыя ризюм ани удалять кафир боком поперёк выйти горло
ios,полный ерунда выбрать направлениепрофобласть слесарить слесарить всякий мср инсрументальщик тд зато отдельно гардеробщик гардеробщик нужный такой куча знание опыт один институт отделаться слесарить просто слесарить неважно специализация подбор подходящий вакансия ващий бред сивый кобыла ремонт компьютер монтаж вл весь слесарить
android,фильтр работать план выбор местность который искать работусколько писалвставлять сохранять пермь выдаёться всеравно москва работакоторать расположить тысяча свыше кмхотеть ставить максим 30км отдалённость
android,внимание соискатель тот приглашать собеседование ставить рейтинг число прислать собеседование ухудшиться рейтинг быть осторожный пс очень жаль рейтинг ставить работодатель
android,реально сбросить пароль сколько издеваться
android,обновление давать войти акаунт приходить имэйл письмо код подтверждение
android,отвратительный удалить аккаунт невозможно враньё слив дать
android,удобный поиск
android,вобщий полный атстоять реклама сартир ходить
android,сдуться ваш везде нужный донат найти работа платить хаах охренель бесплатно поднимать резюме поиск час делать показшляпа hh
android,мочь войти
android,работать сортировка ставить сортировать дата равно число вперемешку
android,давно пользоваться общий весь устраивать сегодня отправлять резюме время написание сопроводительный письмо выскочить окно оценить мой письмо автомат отправиться работодатель прервать середина предложение неоконченный неприятно
android,хорошеить всётакий ощущениечто работодатель выкладывать длягалочкиз месяца37 отклик собеседование пригласить подходить весь параметрамный далёкий просмотр резюме дело заходитспрашиваетсякий искать весь публиковать
android,некоторый пора оформление дизайн доминировать удобство пользователь мобильный версия стать неудобно смотреть статус видимость резюме заменять идиотический типовой надпись многие работодатель видеть резюме быстрый найти работа изменить видимость понять реальный статус приходиться заходить сам резюме автопоиск новое вакансия просмотреть отделяться бледный плохо заметный полоса который постоянно проскакивать
android,резюме заблокать комментарий важный сделать реально важный кто работать куча предложение кидать модератор почему одобрять проверять информация работадатель спасибо мозги вовремя включить начать работать найти отзыв друг сайт
android,создатель похоже расист
android,почему учитывать пенсионер инвалид работа дом интернет сборка бумажный пакет украшение тд многие отказываться ваш
android,добавлять фотоно оно пропадать резюмеисправить ошибка
android,работа какой искать копец
android,увы
android,ерунда путный предлагать один каждый день
ios,отзыв 20 блокировать анкета пока изменить хотеть мимо
android,фильтрация поиск неадекватный рассылка балда слать подряд грузчик продавец инженер
android,ужасный мочь удалить свой аккаунт целый день писать технический поддержка никто отвечать
android,модератор блокировать резюме требовать писать куча всякий себеа работать вообщеть резюме подходить
android,стать стремиться
android,14 год час пытаться найти работа каждый нажимать фильтр доступный соискатель 14 год нифига найти
android,очень странно каждый заход занижаться просмотр
android,очень странно искать работа заполнять анкета итог овета почта жаль вым подойти вакансия рекрутер юлий вакансия разный
android,дутый вакансия
android,авторизация помощь отпечаток неий слышать практически каждый обновление слетать авторизация поправить некоторый ошибка недочёт запустить полезный эксперимент очень надеяться следующий версия рассказать он обновляться собственно мешать рассказать изменение полезный экскремент аха неуёмный желание использовать пользователь тёмный качество подопытный кролик
ios,фейковыя вакансия заниматься человек который должный проверить работодатель глянуть проверить дело вакансия либо неактуальный либо мошенник
ios,блокировать заполнить грамотно равно блокировать указывать заполнить период работа хотя сделать посмотреть откликнуться объявление такой
ios,реальный вакансия отклик вакансия работодатель просматривать резюме такой ощущение фикция реальный вакансия
ios,невозможность найти вакансия блокировать резюме корректно заполнить думать определённый интерес компаниичтоба заказывать платный резюме резюме откликнуться вакансия номер никакой нетчтоба такой случай связаться работодатель напрямуювообщий хитро
android,работать авторизация аккаунт гугл
android,загрузка резюме сторонний ресурс
ios,недоработать сортировка дата список подписка сворачиваться каждый просмотр достаточно удобный взгляд больший неудобство заходить подписка название вакансия сортировка отметить дата вакансия идти попасть пролистывать свежий вакансия мочь оказаться середина конец список 2ести несколько подписка название вакансия видимость изначально три разворачивать список заходить нужный просматривать выходить список снова сворачиваться открыть каждый подписка начинать четыре нужно развернуть промотать нужный список открыть далее
android,вакансия пустышка
android,qall
android,любой случайный касание закрыть закрыть список поиск вакансия особенно отлично пролистать 300 вакансия 600 смотреть вакансия нужно начинать заново сделать подтверждение ещё основной вакансия любой запрос быть проплатить место пятёрочка вакансия директор продавец подобный мусорный компания предоставлять услуга платный дать выбор пользователь смотреть смотреть платный вывод вакансия
android,фильтр работать люба поиск превращаться копание мусорный ям попадаться весь угодный немного искать фильтр зп работать фильтр должность работать написать отзыв компания составить резюме свободный форма устаревший шаблон однозначно хороший день поддержка молчать
android,убрать ваш дебильный сраный домик ранний значок
android,руководство мудачий распространять реклама спам польза
android,развод деньга сплошь ряд
android,левша листать вакансия левый рука соответственно привыкнуть тот пора пока скроить случайно несколько штука успеть посмотреть придумать инструмент сокрытие замечательный
android,обновление исчезнуть дать
android,очень холостой вакансия
android,отсутствовать сведение зарплата
android,оно загружаться проблема испробовать
ios,перестать открываться обновление перестать открываться
ios,почему мочь открыть алло обновить весь мочь зайти намутить ждать решение вакансия мочь войти спасибо помочь найти работа
ios,версия 555 ужасный обновление спб перестать работать последний обновление сначала просто писать ошибка пошло вылететь перезайти снова самый ошибка пошло
ios,загружать вакансия резюме загружать очень долго айфон 6s обновление переустановка помогать исправить пожалуйста
ios,модератор личный неприязнь блокировать резюме ссылаться небрежность пункт заполнить число опыт работа должностной обязанность модер кажется учитель школа ставить тупость решить мой резюме блокировать небрежность очень серьёзный платформа прямо очень
android,обновление весь слететь пытаться заново авторизоваться работать смс email код восстановление пароль приходить другой поиск работа такой
android,безтактный просто ненужный мусор телефон
android,нужный вакансия мыть город
android,пароль проходить че делать
ios,ревизор кислый работа который сделать парень бездарность очень удобный тупиковый ресурс полный отсутствие логический смысл сожалеть предоставить деньга проект ошибиться исполнитель короткий расстояние точка прямая
ios,марин время слетать функция местоположение город найти каждый открытие приходиться указывать
android,телефон samsung a505 работать настройка уведомление работать возможность посмотреть приглашение отказ хотя логично дать возможность итог длительный удобный поиск возможность мобильный версия задать шаблон отклик вакансия вроде весь остальной отлично
android,очень неудобно навигация обновление
android,постоянно глючитугой месяцпозорный приложениевообще минус
android,долгий регистрация
android,два месяц показывать сервис недоступный
android,вакансия факт делаться статистика последний обновление резюме заблокироваться прийтись удалить жаль потратить время
android,телефон возможно зарегистрироваться написать имя ещё речь
android,показывать вакансия москва хотя ставить метка ряд
ios,обращаться компания напрямую смысл улучшение использование ресурс неэффективно целое около двухст отклик процент 80 90 просмотреть такой образ эффективность использование ресурс ставиться вопрос тешить наивный надежда пропадать сайт совет обращаться напрямую компания который интересный смотреть шире нужный посредник поверьте
ios,восторг всплывать окно серьёзно
ios,работа работа вакансия фейковыя
android,найти работа 30 минута hh брать пример
android,реальный вакансия
android,сам неплохой выходить рынок такой малое количество предлагать вакансия
ios,парашка открывать оно зависать моментально перезапуск помогать спасибо стабильность
android,плохо работать июнь случиться знать компьютер входить проблема телефон андроид логин пароль ноль реагировать переустанавливать результат жаль отзыв видно
android,показывать мой резюме компьютерный вариант ваш
ios,внесение изменение ужасно неудобный неинтуитивный редактирование резюме совершенно непонятно нажать добавить опыт работа сохранить резюме
ios,навязчивый уведомление уведомление выход новый версия просто закрыть нажатие крестик выкидывать аppstore
android,ващий отстой исправлять исправлять резюме толк никакой тратить время забыть добавить катиться ада разработчик
android,работодатель основное чёрт
android,дикость вносить поиск позиция директор руководитель начальник результат поиск получать подряд грузчик водитель секретарша тд сказать пожалуйста открыть страшный тайна поиск
android,минус огромный количество оно постоянно расти перечислять хотеться бизнес русски
android,менеджер отправить собеседование несуществующий вакансия весьма неприятно учёт ограниченный количество поездка вирус далеко съездить написать отзыв предложить написать письмо почта объяснить ситуация написать неделя ответ
android,работать
android,есан
android,ущербный постоянно отправлять резюме модернизация человек дать последний год работа воспользоваться сервис самый убогий мочь придумать
android,поисковик нужно сделать выбор точный график работа много1 25 2свободный
ios,исправить ошибка обновление открывать
ios,почему поставить звезда радость сделать написать тестовый задание длинный час стоить уточнить никакой внешний неполадка интернет прекрасно работать ваш конченый залогало текст который написать удалиться работа мечта испортить плохой компания рынок
ios,помочь
ios,фильтр дата обновление назад пропасть фильтр дата подходящий вакансия приходиться делать лишний движение видеть последний вакансия обратить внимание многие просить вернуть фильтр обновить последний версия разработчик пренебречь фильтр пожалуйста вернуть фильтр
android,указывать свой адрес вакансия город москва
android,выбрать крым показывать работа везде крым звезда тот поставить
ios,работодатель доступно соискатель работодатель
android,работать
android,резюме написать готовый работать полный день слать приглашение вахта значит какой фильтр пригласить угодный
android,отзыв фирма круто
android,хороший работодатель отвечать отклик какой либо образ отказ приглашение стоитрезюме просмотреть сделать ответить отказ всяко прозрачный надежда
android,помойка половина вакансия фейка работадатель мочь указывать фирма поэтому половина объявление дурацкий тяньша тиенс амвэй прочий сетевой маркетинг полно объявление наглый обман приезжать офис ты говорят вакансия неактуальный актуальный другой условие такой никто откликнуться поэтому один вакансия далёкий висеть актуальный публиковаться какой время работать нужно обращаться служба поддержка указать
android,один нормальный отзыв хорошеть вакансия год
android,скачать просматривать вакансия вроде выйти два зайти смочь регистрация спрашивать имя фамилия вход два требовать познакомиться ладный нормальный порядок вещий вбивать дать 20 ый оно показывать загрузка далёкий происходить ждать очень долго решить перезайти который сообщение почта приходить зайти мочь
android,составить резюме положенно соответствие свой трудовой книжкойвсё дата правельныей ответ таков ваш резюме заблокированноисправт ошибкиа какой ошибка указанный нигде галочка чтт
android,платный резюме
android,работа подработка несовершеннолетний нету подходящий забивать подработка выдавать какой менеджер продажа пожалуйста сделать 16 летний ребята мочь найти подработка
ios,навязчивость минута раз запросить оценить открыть шо издеваться
ios,нарушать закон персональный дать ведомо согласие пользователь менять персональный дать форма резюме соискатель указывать уровень доход тот проводить оценка компетенция согласие соискатель заполнять пол желаемый доход форма резюме сторона соискатель оставаться неизменный пол желаемый доход оставаться пустой являться обязательный поль заполнение компания нарушать закон персональный дать такой искажение информация дискриминировать пользователь соискатель самый снижать шанс трудоустройство слово поддержка компания проводить называть эксперимент готовить юридический иск прокуратура
ios,работа путём работа основное мошеннический реальный выманивать деньга
android,очень мало вакансия поиск работать должное образ стоить пробовать
android,один кадровый мошейня поиск работая корректновакансия кола центр оказываться it профессия будт осторожный особенно тот поехать вахта вакансия переезд 90 случай кинуть
ios,отзыв подходящий вакансия плохо подбираетво план удобный hh удобно отсматривать приглашенияпросмотр резюме
android,пока мочь сказать установить
android,сожаление сервис скатиться пойти путь популярный сайт объявление начинать банить резюме толком понятно исправить
android,нуйня
